Sending CSV file contents:

File 'sensorData.csv' size: 122869 bytes.

Sampling Frequency [Hz]:100
Sample Duration [Min]:1.00
Time:2025-03-17 11:55:28
Gyro Data:Disabled

-0.1507,0.1262,9.9373

-0.1430,0.1352,9.9397

-0.1196,0.1460,9.9301

-0.1304,0.1501,9.8918

-0.1280,0.1352,9.9247

-0.1280,0.1531,9.9044

-0.1591,0.1442,9.8793

-0.1645,0.1525,9.9582

-0.1406,0.1460,9.9391

-0.1370,0.1609,9.9050

-0.1250,0.1489,9.8721

-0.1346,0.1310,9.8852

-0.1693,0.1280,9.9241

-0.1818,0.1340,9.9098

-0.1603,0.1471,9.8918

-0.1555,0.1346,9.8852

-0.1489,0.1334,9.9163

-0.1208,0.1448,9.9373

-0.1358,0.1501,9.9289

-0.1370,0.1525,9.9385

-0.1430,0.1645,9.9134

-0.1657,0.1597,9.9092

-0.1519,0.1591,9.9187

-0.1591,0.1364,9.8870

-0.1430,0.1412,9.8906

-0.1358,0.1483,9.8948

-0.1346,0.1382,9.9361

-0.1519,0.1442,9.9451

-0.1388,0.1304,9.9032

-0.1406,0.1418,9.9092

-0.1471,0.1531,9.9128

-0.1424,0.1454,9.9032

-0.1418,0.1489,9.9038

-0.1328,0.1430,9.9050

-0.1465,0.1465,9.9271

-0.1471,0.1603,9.9277

-0.1304,0.1561,9.9235

-0.1328,0.1603,9.9086

-0.1489,0.1561,9.8966

-0.1268,0.1424,9.9199

-0.1364,0.1454,9.9199

-0.1376,0.1370,9.8966

-0.1412,0.1322,9.9020

-0.1394,0.1340,9.9145

-0.1328,0.1322,9.9373

-0.1304,0.1280,9.9415

-0.1214,0.1507,9.9181

-0.1376,0.1615,9.9014

-0.1525,0.1597,9.9092

-0.1633,0.1477,9.9074

-0.1597,0.1477,9.9181

-0.1519,0.1597,9.9080

-0.1669,0.1501,9.9134

-0.1501,0.1454,9.9074

-0.1436,0.1675,9.9098

-0.1549,0.1489,9.8972

-0.1340,0.1454,9.9271

-0.1394,0.1430,9.9187

-0.1448,0.1465,9.9151

-0.1424,0.1340,9.9002

-0.1388,0.1310,9.9307

-0.1400,0.1286,9.9235

-0.1471,0.1286,9.9038

-0.1460,0.1699,9.9163

-0.1483,0.1591,9.8954

-0.1370,0.1567,9.9128

-0.1513,0.1537,9.9253

-0.1507,0.1651,9.9187

-0.1382,0.1597,9.9241

-0.1525,0.1454,9.9140

-0.1483,0.1537,9.9098

-0.1489,0.1513,9.9122

-0.1579,0.1382,9.8619

-0.1609,0.1436,9.8446

-0.1645,0.1507,9.9445

-0.1406,0.1525,10.0109

-0.1089,0.1567,9.9851

-0.0939,0.1675,9.8996

-0.1035,0.1519,9.8523

-0.1567,0.1549,9.9504

-0.1741,0.1603,9.9648

-0.1741,0.1609,9.9068

-0.1513,0.1430,9.8290

-0.1460,0.1471,9.8667

-0.1477,0.1477,9.9582

-0.1184,0.1352,9.9606

-0.1178,0.1525,9.9355

-0.1166,0.1513,9.9008

-0.1531,0.1519,9.9074

-0.1669,0.1591,9.9289

-0.1489,0.1352,9.8978

-0.1603,0.1394,9.8918

-0.1561,0.1442,9.8942

-0.1328,0.1519,9.9199

-0.1364,0.1531,9.9439

-0.1238,0.1460,9.9283

-0.1244,0.1663,9.9427

-0.1465,0.1591,9.9415

-0.1555,0.1627,9.9313

-0.1585,0.1460,9.8978

-0.1561,0.1513,9.8828

-0.1705,0.1334,9.9140

-0.1394,0.1256,9.9122

-0.1400,0.1364,9.9157

-0.1519,0.1525,9.9092

-0.1364,0.1573,9.9038

-0.1340,0.1513,9.9331

-0.1316,0.1723,9.9343

-0.1388,0.1537,9.9187

-0.1376,0.1358,9.9151

-0.1352,0.1495,9.9145

-0.1370,0.1561,9.9032

-0.1603,0.1513,9.9056

-0.1454,0.1436,9.9074

-0.1454,0.1471,9.9157

-0.1358,0.1406,9.9038

-0.1424,0.1555,9.9211

-0.1310,0.1603,9.9169

-0.1406,0.1442,9.9307

-0.1454,0.1460,9.9301

-0.1340,0.1442,9.9032

-0.1585,0.1531,9.9241

-0.1597,0.1525,9.9175

-0.1388,0.1483,9.9145

-0.1501,0.1388,9.9163

-0.1418,0.1310,9.9157

-0.1298,0.1501,9.9247

-0.1256,0.1633,9.9427

-0.1364,0.1693,9.9247

-0.1597,0.1585,9.8960

-0.1465,0.1400,9.8936

-0.1495,0.1364,9.9116

-0.1477,0.1477,9.9068

-0.1519,0.1406,9.8876

-0.1477,0.1543,9.9104

-0.1436,0.1519,9.9205

-0.1489,0.1424,9.9151

-0.1358,0.1388,9.9026

-0.1322,0.1513,9.9193

-0.1298,0.1382,9.9181

-0.1196,0.1322,9.9181

-0.1220,0.1388,9.9427

-0.1477,0.1424,9.9145

-0.1454,0.1465,9.9008

-0.1651,0.1424,9.9062

-0.1567,0.1525,9.9032

-0.1597,0.1651,9.9044

-0.1465,0.1513,9.9008

-0.1274,0.1585,9.9092

-0.1346,0.1400,9.9301

-0.1394,0.1424,9.9403

-0.1346,0.1412,9.9259

-0.1549,0.1340,9.9355

-0.1364,0.1328,9.9110

-0.1525,0.1370,9.9020

-0.1495,0.1388,9.9092

-0.1489,0.1501,9.9020

-0.1603,0.1489,9.9128

-0.1424,0.1394,9.9169

-0.1507,0.1627,9.9181

-0.1591,0.1501,9.9265

-0.1477,0.1579,9.9313

-0.1471,0.1663,9.9223

-0.1424,0.1555,9.9145

-0.1406,0.1579,9.9169

-0.1280,0.1436,9.9181

-0.1412,0.1406,9.9199

-0.1465,0.1358,9.9223

-0.1549,0.1430,9.9271

-0.1430,0.1262,9.8822

-0.1328,0.1382,9.8990

